Attacked_City,Remaining_SCC_Count,SCC_Reduction,Damage_Ratio
台北市,38,64,0.6274509803921569
桃园县,37,65,0.6372549019607843
台中县,38,64,0.6274509803921569
高雄市,38,64,0.6274509803921569
北海市,38,64,0.6274509803921569
香港,38,64,0.6274509803921569
景洪市,38,64,0.6274509803921569
泽当,38,64,0.6274509803921569
丽江纳西族自治县,37,65,0.6372549019607843
楚雄市,38,64,0.6274509803921569
南宁市,37,65,0.6372549019607843
湛江市,38,64,0.6274509803921569
三亚市,37,65,0.6372549019607843
海口市,37,65,0.6372549019607843
广州市,37,65,0.6372549019607843
桂林市,37,65,0.6372549019607843
柳州市,38,64,0.6274509803921569
贵阳市,37,65,0.6372549019607843
毕节市,38,64,0.6274509803921569
昭通市,38,64,0.6274509803921569
宜宾市,38,64,0.6274509803921569
达川市,38,64,0.6274509803921569
遂宁县,38,64,0.6274509803921569
华蓥市,38,64,0.6274509803921569
泸州市,38,64,0.6274509803921569
雅安市,38,64,0.6274509803921569
平安县,38,64,0.6274509803921569
酒泉市,38,64,0.6274509803921569
哈密市,38,64,0.6274509803921569
乌鲁木齐市,37,65,0.6372549019607843
兰州市,37,65,0.6372549019607843
银川市,37,65,0.6372549019607843
东胜市,38,64,0.6274509803921569
包头市,38,64,0.6274509803921569
呼和浩特市,37,65,0.6372549019607843
大同市,38,64,0.6274509803921569
忻州市,38,64,0.6274509803921569
榆林市,38,64,0.6274509803921569
汉中市,38,64,0.6274509803921569
广元市,38,64,0.6274509803921569
南充县,38,64,0.6274509803921569
绵阳市,38,64,0.6274509803921569
成都市,37,65,0.6372549019607843
安康市,38,64,0.6274509803921569
宜昌市,38,64,0.6274509803921569
恩施市,38,64,0.6274509803921569
大庸市,38,64,0.6274509803921569
吉首市,38,64,0.6274509803921569
重庆市,37,65,0.6372549019607843
常德市,38,64,0.6274509803921569
长沙市,37,65,0.6372549019607843
深圳市,37,65,0.6372549019607843
汕头市,38,64,0.6274509803921569
厦门市,37,65,0.6372549019607843
泉州市,38,64,0.6274509803921569
福州市,37,65,0.6372549019607843
南平市,38,64,0.6274509803921569
赣州市,38,64,0.6274509803921569
南昌市,37,65,0.6372549019607843
景德镇市,38,64,0.6274509803921569
黄山市,38,64,0.6274509803921569
武汉市,37,65,0.6372549019607843
西安市,38,64,0.6274509803921569
咸阳市,37,65,0.6372549019607843
运城市,38,64,0.6274509803921569
郑州市,37,65,0.6372549019607843
长治市,38,64,0.6274509803921569
太原市,37,65,0.6372549019607843
阜阳市,38,64,0.6274509803921569
石家庄市,37,65,0.6372549019607843
天津市,37,65,0.6372549019607843
北京市,37,65,0.6372549019607843
唐山市,38,64,0.6274509803921569
秦皇岛市,38,64,0.6274509803921569
锦州市,38,64,0.6274509803921569
辽阳市,37,65,0.6372549019607843
沈阳市,38,64,0.6274509803921569
通辽市,38,64,0.6274509803921569
锡林浩特市,38,64,0.6274509803921569
四平市,37,65,0.6372549019607843
吉林市,38,64,0.6274509803921569
哈尔滨市,37,65,0.6372549019607843
海拉尔市,38,64,0.6274509803921569
都匀市,38,64,0.6274509803921569
金华市,38,64,0.6274509803921569
宁波市,37,65,0.6372549019607843
杭州市,37,65,0.6372549019607843
上海市,37,65,0.6372549019607843
无锡市,38,64,0.6274509803921569
南京市,37,65,0.6372549019607843
镇江市,38,64,0.6274509803921569
合肥市,37,65,0.6372549019607843
市辖区(南通市),38,64,0.6274509803921569
徐州市,38,64,0.6274509803921569
临沂市,38,64,0.6274509803921569
青岛市,37,65,0.6372549019607843
烟台市,38,64,0.6274509803921569
济南市,37,65,0.6372549019607843
昆明市,37,65,0.6372549019607843
牡丹江市,38,64,0.6274509803921569
牡丹江市,38,64,0.6274509803921569
大连市,37,65,0.6372549019607843
