Attacked_City,Remaining_SCC_Count,SCC_Reduction,Damage_Ratio,Largest_SCC_Retention,Damage_Level,Efficiency_Retention
台北市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.9949671415301123
桃园县,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
台中县,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.9964768853810069
高雄市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),1.0052302985640802
北海市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
香港,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
景洪市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),1.005792128155074
泽当,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.997674347291529
丽江纳西族自治县,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
楚雄市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.9954256004358596
南宁市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
湛江市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
三亚市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.9924196227156603
海口市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
广州市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
桂林市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
柳州市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
贵阳市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.9931424733259527
毕节市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
昭通市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
宜宾市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),1.0046564876892154
达川市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
遂宁县,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.9906752820468793
华蓥市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
泸州市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
雅安市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.9911092258970986
平安县,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
酒泉市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.9937569801834567
哈密市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
乌鲁木齐市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
兰州市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
银川市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),1.0085227818450895
东胜市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
包头市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
呼和浩特市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.9982254491210318
大同市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
忻州市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.9920886359500476
榆林市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
汉中市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
广元市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.9919686123586913
南充县,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.9973846657999541
绵阳市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.9917136828118996
成都市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
安康市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
宜昌市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
恩施市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
大庸市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
吉首市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),1.0005712222621892
重庆市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.9934361828956846
常德市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
长沙市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.9932408396939479
深圳市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
汕头市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
厦门市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.9961167628884087
泉州市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),1.0003099952249594
福州市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.999312801191162
南平市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
赣州市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
南昌市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.9933126343140356
景德镇市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.9997554512712236
黄山市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
武汉市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
西安市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
咸阳市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
运城市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.9981252582239419
郑州市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),1.0035624002857082
长治市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
太原市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),1.0000353289789203
阜阳市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.9936163602504763
石家庄市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
天津市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.9936139560550842
北京市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),1.0053803656646596
唐山市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
秦皇岛市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),1.0056464365581401
锦州市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
辽阳市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.9982190250437523
沈阳市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.9908704706823817
通辽市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
锡林浩特市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.990917607765355
四平市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
吉林市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
哈尔滨市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.9935711257151174
海拉尔市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),1.0047789404474152
都匀市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
金华市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
宁波市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
杭州市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.9991540211770207
上海市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.9932875110965969
无锡市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
南京市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.9951326743311335
镇江市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.9909707754934804
合肥市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.9996864499053288
市辖区(南通市),38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
徐州市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
临沂市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
青岛市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
烟台市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.9929612027706457
济南市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.9926105527217989
昆明市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.9900511345664246
牡丹江市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
牡丹江市,38,64,0.6274509803921569,0.37254901960784315,Moderate (20-50%),0.99
大连市,37,65,0.6372549019607843,0.36274509803921573,Moderate (20-50%),0.99
